match_no,Bowler,team,over,run,wicket,No_ball,ECO
19,Bhuvneshwar Kumar,Sunrisers Hyderabad,4,29,1,0,7.2
19,Marco Jansen,Sunrisers Hyderabad,4,37,2,2,9.2
19,T Natarajan,Sunrisers Hyderabad,4,54,1,0,13.5
19,Umran Malik,Sunrisers Hyderabad,2,36,1,0,18
19,Mayank Markande,Sunrisers Hyderabad,4,27,2,0,6.8
19,Washington Sundar,Sunrisers Hyderabad,2,20,0,0,10
20,Anrich Nortje,Delhi Capitals,4,31,0,1,7.8
20,Axar Patel,Delhi Capitals,3,25,1,0,8.9
20,Mustafizur Rahman,Delhi Capitals,3,41,0,0,13.7
20,Mitchell Marsh,Delhi Capitals,2,18,2,0,9
20,Lalit Yadav,Delhi Capitals,4,29,1,0,7.2
20,Kuldeep Yadav,Delhi Capitals,4,23,2,0,5.8
20,Mohammed Siraj,Royal Challengers Bangalore,4,23,2,0,5.8
20,Wayne Parnell,Royal Challengers Bangalore,4,28,1,0,7
20,Vijaykumar Vyshak,Royal Challengers Bangalore,4,20,3,0,5
20,Shahbaz Ahmed,Royal Challengers Bangalore,1,11,0,0,11
20,Wanindu Hasaranga,Royal Challengers Bangalore,3,37,1,0,12.3
20,Harshal Patel,Royal Challengers Bangalore,4,32,1,0,8
21,Matthew Short,Punjab Kings,2,10,0,0,5
21,Arshdeep Singh,Punjab Kings,3,22,1,0,7.3
21,Kagiso Rabada,Punjab Kings,4,34,2,0,8.5
21,Sam Curran,Punjab Kings,4,31,3,0,7.8
21,Harpreet Brar,Punjab Kings,2,10,1,0,5
21,Sikandar Raza,Punjab Kings,2,19,1,1,9.5
21,Rahul Chahar,Punjab Kings,3,28,0,0,9.3
21,Yudhvir Singh Charak,Lucknow Super Giants,3,19,2,0,6.3
21,Avesh Khan,Lucknow Super Giants,3,24,0,0,8
21,Mark Wood,Lucknow Super Giants,4,35,2,0,8.8
21,Krishnappa Gowtham,Lucknow Super Giants,4,31,1,0,7.8
21,Krunal Pandya,Lucknow Super Giants,3,32,1,0,10.7
